filename,set_id,fei
0.xml,07764bf9-21b4-4e32-9d7e-e348f8e4291f,146974886
0.xml,07764bf9-21b4-4e32-9d7e-e348f8e4291f,725959238
0.xml,07764bf9-21b4-4e32-9d7e-e348f8e4291f,725959238
0.xml,07764bf9-21b4-4e32-9d7e-e348f8e4291f,725959238
1.xml,c5efc1ed-dd50-48fe-81b6-4d691a178630,141588017
1.xml,c5efc1ed-dd50-48fe-81b6-4d691a178630,618054084
1.xml,c5efc1ed-dd50-48fe-81b6-4d691a178630,618054084
1.xml,c5efc1ed-dd50-48fe-81b6-4d691a178630,618054084
10004.xml,50a58159-9572-4445-9859-b392632597da,650082092
10004.xml,50a58159-9572-4445-9859-b392632597da,918917642
10004.xml,50a58159-9572-4445-9859-b392632597da,918917642
10004.xml,50a58159-9572-4445-9859-b392632597da,918917642
10007.xml,d3a172a5-01ab-47d8-92ac-a8539b1d4dc4,001230762
10007.xml,d3a172a5-01ab-47d8-92ac-a8539b1d4dc4,452742943
10007.xml,d3a172a5-01ab-47d8-92ac-a8539b1d4dc4,452742943
10007.xml,d3a172a5-01ab-47d8-92ac-a8539b1d4dc4,452742943
10020.xml,f3cb74e9-b4ac-4efe-bd8e-8a71970ee7c7,604222237
10020.xml,f3cb74e9-b4ac-4efe-bd8e-8a71970ee7c7,725927649
10020.xml,f3cb74e9-b4ac-4efe-bd8e-8a71970ee7c7,725927649
10020.xml,f3cb74e9-b4ac-4efe-bd8e-8a71970ee7c7,725927649
10032.xml,2b626a48-c7aa-4443-9164-a08ff069ccd1,608775388
10032.xml,2b626a48-c7aa-4443-9164-a08ff069ccd1,023648251
10032.xml,2b626a48-c7aa-4443-9164-a08ff069ccd1,023648251
10032.xml,2b626a48-c7aa-4443-9164-a08ff069ccd1,023648251
10038.xml,2b626a48-c7aa-4443-9164-a08ff069ccd1,608775388
10038.xml,2b626a48-c7aa-4443-9164-a08ff069ccd1,023648251
10038.xml,2b626a48-c7aa-4443-9164-a08ff069ccd1,023648251
10038.xml,2b626a48-c7aa-4443-9164-a08ff069ccd1,023648251
10046.xml,eb6d8fee-def4-4c96-9972-695e8cea8ea8,608775388
10046.xml,eb6d8fee-def4-4c96-9972-695e8cea8ea8,023648251
10046.xml,eb6d8fee-def4-4c96-9972-695e8cea8ea8,023648251
10046.xml,eb6d8fee-def4-4c96-9972-695e8cea8ea8,023648251
10057.xml,78832ac6-04c5-45e0-ae4d-f56d7920dda9,005083209
10057.xml,78832ac6-04c5-45e0-ae4d-f56d7920dda9,194684502
10057.xml,78832ac6-04c5-45e0-ae4d-f56d7920dda9,194684502
10057.xml,78832ac6-04c5-45e0-ae4d-f56d7920dda9,194684502
10064.xml,457a026c-ebce-4701-9deb-2d7652759a99,005083209
10064.xml,457a026c-ebce-4701-9deb-2d7652759a99,001728059
10064.xml,457a026c-ebce-4701-9deb-2d7652759a99,001728059
10064.xml,457a026c-ebce-4701-9deb-2d7652759a99,001728059
10072.xml,c96726ef-f1fa-4ebb-ba33-3479c3902a8e,141588017
10072.xml,c96726ef-f1fa-4ebb-ba33-3479c3902a8e,862603148
10072.xml,c96726ef-f1fa-4ebb-ba33-3479c3902a8e,862603148
