duns_number,uq_duns,count
3004654754,3002992930,2
3004107906,3004464535,2
3005727243,3013239405,1
3002994577,3003068822,3
3005698544,3015826784,2
3002692859,3011139911,1
3002984417,3003723117,1
1000208853,3012139887,1
1610391,1000025822,3
3012275336,3027391357,2
3002556034,3016418266,1
2510734,3013501887,1
3005574978,1000036852,1
3005753252,3017399141,1
3002992930,3025983703,1
3004464535,1618160,1
3013239405,3003067499,1
3009953335,3017199840,1
3003068822,1000122232,3
3015826784,3027503130,3
3011139911,3006531950,4
3003723117,3003229412,4
3012139887,3003053677,3
1000025822,3019843904,1
3027391357,1000069719,4
3027391357,2310620,2
3016418266,3005979923,1
3013501887,3009127711,1
1000036852,3006057298,1
3017399141,3005334016,1
3025983703,3010704905,2
1618160,3011320041,1
3003067499,3011513461,1
3017199840,3004453700,2
1000122232,1000305509,1
3027503130,3010840309,2
3006531950,3025422586,1
3003229412,3009713694,2
3003053677,3018752619,1
3019843904,3027394593,1
1000069719,3027349282,1
2310620,3005508230,1
2310620,3012073956,1
3003059934,1480885,2
3005979923,3009946959,3
3009127711,1000071237,2
3003092372,3025922936,1
3006057298,3005280525,2
3005334016,3005269310,1
3010704905,3025995723,1
3011320041,3003974891,1
3011513461,3008847088,1
3004453700,3016420687,1
1000305509,1910648,6
3010840309,3014469173,4
3025422586,3000204701,1
3009713694,2126821,2
3018752619,3011316404,1
3027394593,3007267856,1
3027349282,3013171766,2
3005508230,3026147808,1
3012073956,3012553246,1
1480885,3008298016,1
3009946959,3005871025,3
1000071237,2011035,2
3002463752,3013927023,3
3025922936,1000110034,1
3005280525,3003747592,2
3005269310,3009590582,3
3025995723,3007295883,1
3003974891,3018035065,1
3008847088,2246824,3
3016420687,3022210898,1
1910648,3003469576,1
1910648,3008712484,1
3014469173,1218914,4
3014469173,1450763,1
3000204701,3003921470,1
2126821,3008932049,2
3011316404,3005897621,1
3007267856,3009814715,1
3013171766,2242327,2
3026147808,3012323885,1
3012553246,3005124189,3
3008298016,1031041,1
3005871025,3017371366,1
2011035,3008611487,1
3013927023,1922337,1
1000110034,3008581988,1
3003747592,3002443240,1
3009590582,2026940,3
3007295883,1626310,4
3018035065,3004876794,2
2246824,3014015976,2
3022210898,3014109782,1
3003469576,3008861619,1
3008712484,3013239969,3
1218914,1250013,2
1218914,3007253462,1
1450763,3012013973,1
3003921470,2431841,1
3008932049,3002616986,1
1950046,1915076,1
3005897621,3015928879,1
3009814715,3004610460,3
2242327,3010165392,1
3012323885,3024611819,1
1000025822,3004731564,3
3005124189,3010744574,1
1031041,3007450508,2
3008420443,3012234853,1
3017371366,3015283219,2
3008611487,3004758248,1
1922337,3007751703,9
3008581988,3023259471,2
3002443240,3005702355,1
3011800162,1417519,2
2026940,3023815166,1
1626310,3011627411,2
3004876794,3023890987,1
1210580,1921601,1
3014015976,3023878838,1
3014109782,2025064,1
3008861619,3003094018,1
3013239969,3004011473,1
1250013,3004858203,1
3007253462,3007618410,2
3012013973,3002807511,3
2431841,3019411371,1
3002616986,3003973520,1
1915076,2246857,1
3015928879,3004086192,2
3004610460,3005841768,1
3010165392,3003767891,1
3007090726,2517008,1
3024611819,3006658780,1
3004731564,3015269827,1
3004731564,3004845420,4
3004731564,3016775373,1
3010744574,3009331372,1
3007450508,3002960047,1
3012234853,3002686308,1
3015283219,3003569803,1
3004758248,3007562389,1
2211383,3006900385,2
3007751703,3002806922,2
3023259471,3007317099,2
3023259471,1000171152,1
3005945400,3003659249,1
3013856804,3010241801,3
3005702355,3023464259,1
1417519,3008941209,1
3023815166,3000204955,3
3011627411,1920841,1
3023890987,3007652252,2
1921601,3017871874,2
3023878838,3011196914,1
2025064,3022938366,1
3011006339,3012285699,1
3003094018,3005029956,1
3004011473,2435254,3
3002998723,3015145884,1
3004858203,2627511,6
3007618410,3011967886,2
3002807511,1000135880,3
3019411371,3004943112,1
3003973520,3001697625,1
2246857,3003598505,2
3004086192,3020491814,1
3005841768,3023493558,1
3003767891,3010166780,1
2517008,3009768800,1
3006658780,3003096558,1
3015269827,3014278936,1
3004845420,3011761882,1
3016775373,3001238690,1
3009331372,1818911,1
3002960047,1950348,8
3002686308,1036352,1
3003569803,3005320466,3
3007562389,3008927553,1
3006900385,3011545418,1
3002806922,3001184984,2
3007317099,3003908435,1
1000171152,3004081307,3
3010222586,3016076203,1
3003659249,3001432470,4
3010241801,3015237167,1
3023464259,3002807979,2
3008941209,3011572099,1
3023533273,3019300800,1
3000204955,3015826782,1
1920841,3014117482,1
3007652252,3011887629,3
3017871874,3003982153,1
3017871874,3003348498,2
3011196914,1940465,4
3022938366,3006895982,3
3012285699,3003945152,1
3005029956,3015168914,1
2435254,3002750286,1
3015145884,3011622931,1
2627511,1413475,3
3011967886,3007616930,1
1000135880,3011069063,1
3004943112,3005519645,2
3001697625,1035794,2
3003598505,3017303868,1
3020491814,3015320016,1
3023493558,1215362,1
3010166780,3022205731,1
3009768800,3004497364,2
3003096558,1450022,2
3014278936,3010589333,3
3011761882,3009872426,1
3001238690,3002892007,1
1818911,1310093,2
1950348,3005757050,1
1950348,3022075106,1
1036352,3014982757,2
3005320466,1833240,2
3008927553,3004450713,1
3011545418,3021955067,1
3001184984,3021693832,1
3003908435,3003079019,1
3004081307,3004555163,2
3004007943,1480772,2
3016076203,3017060030,1
3001432470,3003838850,1
3015237167,3004672766,1
3002807979,3011585599,1
3011572099,2246848,2
3019300800,3020256087,1
3015826782,1912225,1
3014117482,3009729473,1
3011873350,3002809586,4
3014957357,3012369470,1
3014957357,2650091,1
3011887629,3010738198,1
3003982153,3010371376,1
3003348498,3021539793,1
1000121624,3010680515,5
3001236208,3004380893,1
1940465,3003912437,1
3006895982,3002869527,2
3003945152,3011158388,6
3011152407,3015595236,1
3015168914,3016927597,1
3002750286,3017227582,1
3011622931,3002807424,4
1413475,3006191612,1
3007616930,3011856764,1
3011069063,3012048333,3
3005519645,3009095898,1
3010164603,3006441852,1
1035794,3002807512,2
3017303868,3005202232,2
3015320016,3017183921,1
1215362,3016750083,1
3022205731,1000086700,1
3005117563,3001587133,1
3004497364,3008275696,3
1450022,3010052264,1
3010589333,3004966182,2
3009872426,3015252551,2
3002892007,3015158417,1
1310093,1931182,1
3005757050,3012303419,1
3006210769,3006435842,3
3022075106,3015859129,2
2510734,3014229024,1
3014982757,2012546,1
3003878590,3003535240,1
1833240,3011402904,2
3007187282,3000215611,3
3004450713,3010972581,3
3021955067,3013559620,2
3021693832,3015500516,1
3003079019,1913396,1
3004555163,1000512361,1
1480772,3011408975,1
3017060030,3004286071,2
3003838850,1000119582,3
3004672766,3014623896,1
3011585599,1000418405,1
2246848,3001239108,1
2246848,3014386146,1
3020256087,3001576820,2
1025114,3013263547,1
1912225,3005000375,1
3009729473,3012465222,2
3002809586,3018035114,1
3012369470,3020918925,1
2650091,3013947845,1
3010738198,3020460374,1
3010371376,3014068680,1
3021539793,3002664348,1
3003059934,1000125638,1
3004453700,3005796917,1
3010680515,3010138966,1
3010680515,1619076,2
3004380893,3010490167,4
3003229412,3008769612,2
3003912437,1317759,1
3002869527,1000113240,1
3011158388,1000174332,3
3015595236,2083633,1
3010892830,3016866993,1
3016927597,1618285,1
3017227582,3014171113,3
3002807424,3012484129,1
3006191612,1000221509,1
3011856764,3019794456,1
3012048333,3009095423,1
3012048333,3002523846,1
3009095898,3009840089,1
3006441852,3000203462,1
3002807512,3009174563,1
3003821988,3007517881,2
3005202232,3017716431,1
3005202232,3013479261,1
3017183921,3013705271,3
3016750083,3018116910,3
1000086700,1000028052,7
3001587133,3008259785,4
3008275696,3002764676,1
3010052264,1941150,1
3004966182,3003054732,1
3015252551,3013352224,1
3015158417,3005269673,1
1931182,3013847493,1
3012303419,3014373428,2
3006435842,3009127876,2
3015859129,3011020725,2
3014229024,1250045,2
2012546,1048788,2
3003535240,3008302967,2
3011402904,3014384422,2
3011402904,3016661283,1
3000215611,3011219618,1
3010972581,3006691461,2
3013559620,3012030543,2
3015500516,3013443567,1
1913396,3016117472,1
3009705561,3019329346,1
3009705561,3011319445,3
1000512361,3014573577,1
3011408975,3017622664,1
3004286071,3004758431,1
3004286071,1018573,3
1000119582,1000526875,1
3014623896,3004429449,2
1000418405,3014391500,1
1480885,3009921075,1
3007751703,3005976760,2
3001239108,3026274805,2
3014386146,2027158,2
3001576820,3012816585,1
3015283219,3017760842,1
3013263547,3006489197,7
3009953335,3016690411,1
3005000375,3003734940,3
1000025822,3009712882,2
3015365441,3004378446,2
3012465222,3004021253,2
3018035114,3015235235,2
3007618410,3005564386,1
3020918925,3004763201,2
3013947845,3016710945,1
3020460374,3017155458,2
3014068680,1220701,2
3002664348,3014483112,2
1000125638,1000135238,1
3005796917,3015174203,1
3010138966,3002835459,2
1619076,3016760965,1
3010490167,3012223534,3
3008769612,3000204154,2
1317759,1000525249,2
1000113240,3003273521,2
3017888878,1311209,1
1000174332,1629952,2
2083633,3012063246,1
3016866993,2027164,2
1618285,3015474688,2
3014171113,3010580682,1
3012484129,2411192,1
1000221509,3010810839,2
3019794456,3011286349,4
3009095423,3014685473,2
1000071237,1250001,2
3002523846,3004841580,4
3009840089,3001032341,1
3010840309,3012937475,2
3000203462,1150023,6
3009174563,3004474370,6
3015826784,3008268262,1
3007517881,3012877692,1
3017716431,3012907473,2
3013479261,3011530695,1
3013705271,3009481791,1
3018116910,3008596674,1
1000028052,3011691465,3
3008259785,1946524,1
3001184984,3010943533,2
3002764676,3018118045,1
3014015976,3018061341,1
3003053677,3011772828,3
1941150,3015448605,1
3003054732,3011692533,1
3013352224,3018101540,1
3000215611,3004378632,1
3005269673,3001451695,1
3013847493,3010165327,1
3011368010,1915499,1
3014373428,3015451503,1
3009127876,3003693795,2
3013239969,3009744960,2
3004845420,3014538924,1
3011020725,3012884265,1
2627511,3016413581,1
2627511,1000251214,1
2242327,1413787,1
1250045,3005351861,1
3013856804,3006701521,1
1048788,3013024146,2
3008302967,2114199,1
3014384422,3010043160,2
3014384422,3017517342,2
3016661283,3000204079,3
3011219618,3006271438,1
3006691461,1000446007,1
3012030543,3012144557,1
1000208853,3012353600,1
3012275336,1000110912,1
3013443567,3002889358,2
3003068822,3017159096,1
3016117472,3016927347,1
3019329346,3005734706,2
3009946959,3007007565,1
1250013,3010536120,2
3011800162,3003173295,2
3013374118,3000243857,1
3013374118,3002679704,1
3013927023,3000205427,1
3011319445,3016458098,1
3014573577,1611206,5
3017622664,3014050858,1
3004758431,3003585876,1
1018573,3004737602,1
1000526875,3005694111,5
3004876794,3013854204,2
3004429449,1910619,4
3014391500,3009407408,1
3009921075,3009876430,1
3005976760,3006688078,3
3001744192,1000149906,2
3001744192,3010910756,1
3009963974,3013556857,1
3026274805,3008488415,2
3005350897,3003093882,1
2027158,3012481086,1
3012816585,3014773436,1
3017760842,3015417637,2
3006489197,3009658676,2
3006489197,3009992123,1
3016690411,3003194604,2
3003734940,3005013465,1
3009712882,3004291002,1
3004378446,1000149895,1
3004021253,1950222,9
3015235235,3015554399,1
3005564386,3002808161,1
3004763201,3012228225,1
3016710945,3010211239,1
3017155458,3002808102,1
3017155458,1931484,5
1220701,3011430127,1
3014483112,1000183111,1
1000135238,3015617746,1
3015174203,3015658387,1
3002994577,3004664162,1
3002835459,3006717635,4
3016760965,3004102002,1
3012223534,3015347707,1
3000204154,3007240297,1
3011006339,3009892875,2
3011006339,3007379141,1
1000525249,3003297374,3
3027503130,3013913234,2
3003273521,3009167769,1
1311209,3010960741,1
2246824,1629694,2
1629952,3008425092,1
3012063246,1000160561,1
2027164,3015636426,1
3015474688,3012228279,2
3010580682,3006177509,2
2411192,3008029795,1
3010810839,3005073828,2
1000122232,3015667771,2
3011286349,3008307548,2
3014685473,1025483,3
3014685473,3007373532,1
1250001,3006435023,1
1250001,3015651362,1
3004841580,3011425900,2
3004841580,3015131327,1
3001032341,3013162819,2
3012937475,3010033797,1
1150023,3005947959,1
1150023,3004133725,3
3004474370,3015767533,1
