ndc_id,ndc_code,location_id
4791,0338-0049-41,27
9434,0338-0049-11,27
6427,0338-0049-31,26
10893,0338-0049-04,28
10921,0338-9549-50,13
7170,63323-285-10,10
10994,63323-288-21,11
7873,70010-113-01,106
1608,0409-4282-01,24
3145,0409-4713-32,24
5859,0409-4278-01,24
11729,0409-4277-01,24
12025,0409-4776-01,23
7069,0409-4282-02,85
700,0832-7124-01,48
1492,63323-492-31,10
410,63323-484-57,11
418,63323-484-57,11
2497,63323-492-27,11
1123,63323-489-27,45
1175,0409-2815-01,2
11204,0409-1454-20,23
11209,0409-1454-20,23
2340,0009-0280-51,3
11434,0406-5117-01,118
2386,0703-0113-03,121
8760,43598-440-01,63
11607,55150-162-05,33
11627,0264-7800-20,119
11640,0264-7800-20,120
9938,0990-7983-03,29
13857,0990-7984-36,29
4984,0409-2308-01,23
8785,0409-1966-12,85
4123,0169-7708-21,139
1241,60505-4740-1,142
6025,60505-4744-1,142
12227,63323-472-37,10
7837,55150-195-20,33
6054,63323-186-20,10
4098,63323-186-10,45
13438,63323-186-02,45
7401,0597-0041-37,154
3008,63323-671-20,10
3015,63323-671-20,10
3256,63323-671-50,10
3251,63323-671-50,11
7647,13668-397-30,157
3229,11534-191-01,170
279,83090-006-10,171
13152,83090-005-10,172
3966,63323-519-10,89
5389,0409-1323-05,2
13160,0409-4904-34,2
13166,0409-4904-34,24
7091,66794-162-02,51
9037,63323-806-20,10
3609,63323-806-05,45
13681,55150-160-72,34
6589,0409-6102-04,85
13812,0409-6102-26,85
9984,43547-604-10,42
606,16729-484-45,8
14031,0338-0409-03,25
14078,83090-007-10,171
4216,0338-9543-06,12
7242,0338-9543-04,12
2269,65162-023-09,205
224,65219-466-60,159
3926,65219-472-20,207
2205,65219-474-10,58
2077,0781-3493-95,136
4480,70121-1389-1,216
2742,63323-280-02,45
2743,63323-280-02,45
9462,0990-6139-03,24
3204,65282-1510-1,178
3401,76045-104-10,58
7973,76045-009-06,10
7978,76045-009-06,10
4013,0409-7810-22,2
5446,36000-283-25,237
4436,63323-421-02,10
8492,0409-4888-12,2
9010,0409-4888-50,2
9020,0409-4888-50,23
5768,63323-095-61,45
5939,0409-3613-01,24
8239,63323-631-10,88
9688,68001-313-56,259
14201,0338-0049-18,26
5092,0409-9043-01,2
1217,0409-2066-05,85
3679,60505-4745-1,71
12453,63323-186-00,45
1319,0409-1159-02,85
1346,63323-806-01,45
14224,0143-9507-10,7
4839,61703-350-38,2
1553,0338-9543-02,12
6273,0409-3365-10,24
7384,70069-064-25,17
7940,61703-150-05,2
10108,72888-154-30,22
10110,72888-154-30,22
8633,0338-0017-18,26
1339,0338-0017-02,27
9487,0338-0017-10,27
10968,0990-7923-23,29
1206,71288-162-30,32
1020,0409-4916-14,2
371,79672-613-05,39
3327,79672-613-02,39
10623,63323-851-15,45
9053,0641-6057-25,46
6116,59417-102-10,49
12174,59417-103-10,49
14123,59417-107-10,49
2766,59417-105-10,52
8289,59417-118-01,52
13495,0409-2344-02,2
1525,76297-001-21,62
11580,0338-1130-03,27
7492,65862-707-80,55
11954,68180-659-06,36
9485,60505-6282-3,71
13081,60505-6282-3,72
1966,63323-485-57,10
13498,63323-486-17,45
13507,63323-486-17,45
10588,63323-122-50,11
10671,63323-464-31,10
4366,0409-1805-01,2
1580,0409-1560-29,2
572,0409-1610-50,23
1580,0409-1560-29,85
4278,0409-4887-50,2
9431,0338-0049-11,12
9239,0338-0049-02,25
9429,0338-0049-11,25
4790,0338-0049-41,27
9244,0338-0049-02,27
9439,0338-0049-11,26
6430,0338-0049-31,28
9255,0338-0049-02,28
7073,0409-4282-02,24
435,0409-4713-02,23
11067,0409-4275-01,23
11508,63323-824-76,10
13246,63323-489-17,10
12603,72205-137-91,112
12204,66794-228-41,115
1890,0406-5116-01,117
5975,0264-7388-60,120
6016,0703-0110-03,23
7747,71093-127-05,108
11520,43598-441-01,63
8761,43598-440-01,122
11598,55150-162-05,33
2307,0409-1165-02,2
2326,0338-0433-04,27
13008,55150-297-10,33
126,76329-1912-1,134
4127,0169-7703-21,137
12196,60505-4743-1,142
6866,63323-463-57,11
9621,55150-323-25,34
5580,63323-411-12,45
3641,55150-249-50,33
12479,64253-020-30,153
3011,63323-671-20,10
12855,23155-601-42,16
12954,43547-411-09,41
13145,83090-005-10,171
137,0406-1170-03,117
3484,63323-201-10,11
13667,55150-160-72,34
13836,0054-0389-25,194
5666,42543-493-01,196
9993,43547-604-10,167
2540,0338-0004-02,12
1672,62332-599-25,198
1677,62332-599-25,199
633,0054-0371-25,193
1837,0517-1001-25,206
751,23155-473-44,165
751,23155-473-44,211
8882,50458-585-01,215
38,63323-493-91,10
2426,63323-496-97,10
8106,70121-1388-1,217
2910,0338-0553-11,27
3044,71357-008-10,186
4501,0409-0155-02,2
4443,63323-421-02,10
4657,71288-728-32,31
6938,0597-0495-60,79
5696,0409-2634-01,2
5324,0409-4283-01,24
5775,63323-095-61,10
6222,63323-516-10,45
6234,63323-178-76,10
6271,0409-3365-10,23
7098,63323-924-30,10
8513,70069-752-25,17
901,72485-508-10,201
7544,23155-600-41,165
9513,73293-0001-2,114
12027,0409-4776-01,2
1618,0409-4282-01,85
12543,0409-4910-34,24
8099,70121-1388-1,218
6952,0338-9557-12,13
10017,0143-9250-10,6
2990,63323-466-17,11
2126,70069-064-10,18
6759,72888-154-05,22
4359,0409-1434-01,2
4360,0409-1434-01,2
4362,0409-1434-01,2
9496,0338-0017-11,12
14151,0338-0017-48,12
6628,0409-3178-03,2
1205,71288-162-30,32
10445,79672-613-03,39
13828,63323-851-10,10
13653,63323-854-10,45
8718,44567-611-10,57
13182,76045-005-11,10
5418,42858-166-01,60
11162,0409-3814-12,2
10408,76297-001-41,40
10528,65862-707-55,4
13510,63323-486-17,45
1067,0019-1188-27,76
1302,0245-1075-30,80
10688,0409-1312-36,23
1582,0409-1560-29,2
4924,0409-1610-50,2
2411,63323-287-21,10
7400,63323-286-35,11
4758,0409-7299-25,24
4275,0409-4887-50,85
4790,0338-0049-41,25
7296,0338-0049-48,25
7468,0338-0049-38,25
10897,0338-0049-04,25
14190,0338-0049-18,25
10913,0338-0049-04,27
9131,0338-0049-03,28
9244,0338-0049-02,28
9167,0338-0117-03,12
5597,63323-285-20,10
8249,63323-285-61,10
8765,63323-288-10,10
11006,0641-0497-25,46
5300,0409-4276-02,23
3531,63323-481-57,11
3532,63323-481-57,11
13257,63323-491-57,11
1490,63323-492-31,45
1175,0409-2815-01,24
743,0641-6029-25,46
11270,73293-0002-2,114
11444,0264-7388-50,120
11498,43066-555-24,12
11773,0990-7983-02,29
8380,0990-7984-23,24
8384,0990-7984-23,24
4915,64850-502-01,67
13716,0409-1160-01,85
2020,0338-0431-03,12
11827,0409-1966-07,85
11837,0409-1966-07,85
2149,55150-296-10,33
11932,55150-209-02,34
12994,55150-297-10,34
4122,0169-7708-21,137
1251,60505-4740-1,71
6025,60505-4744-1,73
6551,61703-339-56,20
9372,55150-197-20,34
3643,55150-249-50,33
3135,60505-3848-5,73
6039,63323-426-05,45
13800,65219-458-30,159
3112,63323-185-10,10
12620,63323-185-20,10
5901,51754-5011-4,163
9426,23155-601-41,165
4137,42806-339-01,166
7660,11534-194-01,170
12986,11534-196-01,170
6410,83090-002-10,172
13164,0409-4904-34,24
3480,63323-201-10,11
13758,0409-1141-02,24
13766,0487-6105-01,144
348,43547-608-10,41
4209,0338-9543-06,12
1973,63323-412-25,45
3824,71288-203-05,65
3926,65219-472-20,159
2202,65219-474-10,58
2060,55150-239-30,34
8884,50458-585-01,214
2433,0641-6147-10,46
5822,70121-1388-8,217
937,55150-165-05,33
7803,63323-280-04,45
804,0143-9392-10,23
3195,71357-009-10,187
7728,65282-1505-1,114
333,0169-4060-12,169
3631,0641-6007-10,46
3461,0409-4596-20,23
4446,63323-421-02,10
4455,61703-161-05,2
4665,71288-728-32,31
5179,70436-203-80,83
5504,71288-505-03,31
6947,0338-9557-12,12
6949,0338-9557-12,12
5929,0143-9872-10,6
774,0409-1304-31,23
7669,55150-221-10,33
7664,55150-221-10,34
9384,55150-304-25,34
4368,0409-1805-01,23
10903,0338-0049-04,28
4703,63323-288-11,11
9736,0264-7800-09,119
12461,63323-186-00,45
3606,63323-806-05,45
6687,63323-202-02,45
13756,70726-0303-2,190
6955,0338-9557-12,13
10027,16729-512-43,8
8967,0409-3189-10,15
10088,16729-295-12,19
4346,0409-1434-01,2
13244,0409-1660-50,23
13588,0338-0017-38,26
10145,0409-3182-01,24
8119,71288-164-50,31
13830,63323-851-10,10
